feature,importance,rank
goes_ordinal_lag1,0.30810003280213627,1
cumulative_index,0.00930576085364263,2
cumulative_index_delta1,0.005817166583786526,3
goes_flux_lag1,0.00014977946097138872,4
cumulative_index_roll6_std,6.0040821321671875e-05,5
sunspot_number_roll24_std,2.8668785493213277e-05,6
cumulative_index_delta6,2.436563738887898e-05,7
goes_flux_roll24_std,2.1235267972552486e-05,8
xray_flux_short_lag3,1.9344260732112593e-05,9
xray_flux_short_delta1,1.868389723151953e-05,10
xray_flux_short_roll6_std,1.417277183106691e-05,11
cumulative_index_roll12_mean,1.1345799395789946e-05,12
xray_flux_short_delta24,1.0667931690488963e-05,13
xray_flux_short_roll12_mean,7.836968810726041e-06,14
xray_flux_short_lag1,6.846681668903898e-06,15
magnetic_field_roll24_std,6.566955782583151e-06,16
cumulative_index_roll6_mean,6.398253858397318e-06,17
magnetic_field_lag12,6.0073742623734105e-06,18
magnetic_field_delta6,5.762034896217294e-06,19
log_xray_flux_delta1,5.68794187698618e-06,20
cumulative_index_roll24_std,5.092977971354884e-06,21
sunspot_number_delta24,4.88581236628427e-06,22
log_xray_flux_roll12_std,4.226504066129344e-06,23
sunspot_number,4.0485478079776985e-06,24
doy_sin,4.023119657925456e-06,25
cumulative_index_lag24,3.499818783159192e-06,26
xray_flux_short_delta6,3.132066396149824e-06,27
goes_flux_roll24_max,2.9283242181987744e-06,28
log_xray_flux_roll24_std,2.5591537167413137e-06,29
xray_flux_short_lag6,2.379971213373189e-06,30
goes_flux_lag12,2.0859536381534483e-06,31
goes_flux_roll12_max,2.0802460189983663e-06,32
log_xray_flux_roll12_mean,1.6569846953640167e-06,33
xray_flux_short_roll6_max,1.1971040927871712e-06,34
hour_cos,9.436869267354097e-07,35
magnetic_field_lag1,9.061694566714351e-07,36
magnetic_field_roll24_mean,7.143484038518722e-07,37
doy_cos,6.998502345867407e-07,38
goes_flux_roll6_mean,6.875423737895403e-07,39
cumulative_index_lag12,6.468160825168212e-07,40
magnetic_field_roll6_mean,4.352978913768624e-07,41
hour_sin,4.10625781666063e-07,42
